"Provider","Region","Region (code)","Name","vCPU","RAM (MiB)","Storage (GB)","Price/h (USD)"
"aws-ec2","Asia Pacific (Mumbai)","ap-south-1","t4g.nano",2,512,EBS only,0.0028
"aws-ec2","Asia Pacific (Mumbai)","ap-south-1","t3a.nano",2,512,EBS only,0.0031
"aws-ec2","US East (Ohio)","us-east-2","t4g.nano",2,512,EBS only,0.0042
"aws-ec2","US East (N. Virginia)","us-east-1","t4g.nano",2,512,EBS only,0.0042
"aws-ec2","US West (Oregon)","us-west-2","t4g.nano",2,512,EBS only,0.0042
"aws-ec2","EU (Stockholm)","eu-north-1","t4g.nano",2,512,EBS only,0.0043
"aws-ec2","EU (Ireland)","eu-west-1","t4g.nano",2,512,EBS only,0.0046
"aws-ec2","Canada (Central)","ca-central-1","t4g.nano",2,512,EBS only,0.0046
"aws-ec2","US East (N. Virginia)","us-east-1","t3a.nano",2,512,EBS only,0.0047
"aws-ec2","US West (Oregon)","us-west-2","t3a.nano",2,512,EBS only,0.0047
"aws-ec2","US East (Ohio)","us-east-2","t3a.nano",2,512,EBS only,0.0047
"aws-ec2","EU (London)","eu-west-2","t4g.nano",2,512,EBS only,0.0047
"aws-ec2","EU (Paris)","eu-west-3","t4g.nano",2,512,EBS only,0.0047
"aws-ec2","EU (Frankfurt)","eu-central-1","t4g.nano",2,512,EBS only,0.0048
"aws-ec2","EU (Milan)","eu-south-1","t4g.nano",2,512,EBS only,0.0048
"aws-ec2","US West (N. California)","us-west-1","t4g.nano",2,512,EBS only,0.005
"aws-ec2","EU (Ireland)","eu-west-1","t3a.nano",2,512,EBS only,0.0051
"aws-ec2","US East (N. Virginia)","us-east-1","t3.nano",2,512,EBS only,0.0052
"aws-ec2","US West (Oregon)","us-west-2","t3.nano",2,512,EBS only,0.0052
"aws-ec2","US East (Ohio)","us-east-2","t3.nano",2,512,EBS only,0.0052
"aws-ec2","Canada (Central)","ca-central-1","t3a.nano",2,512,EBS only,0.0052
"aws-ec2","Asia Pacific (Seoul)","ap-northeast-2","t4g.nano",2,512,EBS only,0.0052
"aws-ec2","Asia Pacific (Sydney)","ap-southeast-2","t4g.nano",2,512,EBS only,0.0053
"aws-ec2","Asia Pacific (Singapore)","ap-southeast-1","t4g.nano",2,512,EBS only,0.0053
"aws-ec2","EU (London)","eu-west-2","t3a.nano",2,512,EBS only,0.0053
"aws-ec2","EU (Paris)","eu-west-3","t3a.nano",2,512,EBS only,0.0053
"aws-ec2","EU (Frankfurt)","eu-central-1","t3a.nano",2,512,EBS only,0.0054
"aws-ec2","Asia Pacific (Tokyo)","ap-northeast-1","t4g.nano",2,512,EBS only,0.0054
"aws-ec2","EU (Stockholm)","eu-north-1","t3.nano",2,512,EBS only,0.0054
"aws-ec2","EU (Milan)","eu-south-1","t3a.nano",2,512,EBS only,0.0054
"aws-ec2","Asia Pacific (Mumbai)","ap-south-1","t4g.micro",2,1024,EBS only,0.0056
"aws-ec2","US West (N. California)","us-west-1","t3a.nano",2,512,EBS only,0.0056
"aws-ec2","Asia Pacific (Mumbai)","ap-south-1","t3.nano",2,512,EBS only,0.0056
"aws-ec2","EU (Ireland)","eu-west-1","t3.nano",2,512,EBS only,0.0057
"aws-ec2","Canada (Central)","ca-central-1","t3.nano",2,512,EBS only,0.0058
"aws-ec2","Asia Pacific (Hong Kong)","ap-east-1","t4g.nano",2,512,EBS only,0.0058
"aws-ec2","US West (Oregon)","us-west-2","t2.nano",1,512,EBS only,0.0058
"aws-ec2","US East (N. Virginia)","us-east-1","t2.nano",1,512,EBS only,0.0058
